GeneSymbol	GeneID	ChemicalName	ChemicalID	CasRN	Interaction	InteractionActions	PubMedIDs
AARS1	16	Drugs, Chinese Herbal	D004365		Drugs, Chinese Herbal results in increased expression of AARS1 mRNA	increases^expression	29667321
AARS1	16	entinostat	C118739		entinostat results in increased expression of AARS1 mRNA	increases^expression	26272509
AARS1	16	entinostat	C118739		[NOG protein co-treated with entinostat co-treated with dorsomorphin co-treated with 4-(5-benzo(1,3)dioxol-5-yl-4-pyridin-2-yl-1H-imidazol-2-yl)benzamide] results in increased expression of AARS1 mRNA	affects^cotreatment|increases^expression	27188386
AARS1	16	Enzyme Inhibitors	D004791		[Enzyme Inhibitors results in decreased activity of OGA protein] which results in increased O-linked glycosylation of AARS1 protein	decreases^activity|increases^O-linked glycosylation	23301498
AARS1	16	Fluorouracil	D005472	51-21-8	TP53 protein affects the reaction [Fluorouracil results in decreased expression of AARS1 mRNA]	affects^reaction|decreases^expression	15016801
AARS1	16	Genistein	D019833	446-72-0	Genistein results in increased expression of AARS1 mRNA	increases^expression	26865667
AARS1	16	GSK-J4	C000593030		GSK-J4 results in decreased expression of AARS1 mRNA	decreases^expression	29301935
AARS1	16	ICG 001	C492448		ICG 001 results in increased expression of AARS1 mRNA	increases^expression	26191083
AARS1	16	JP8 aviation fuel	C098607		JP8 aviation fuel results in decreased expression of AARS1 mRNA	decreases^expression	16835149
AARS1	16	methylparaben	C015358	99-76-3	methylparaben results in increased expression of AARS1 mRNA	increases^expression	31745603
AARS1	16	Nickel	D009532	7440-02-0	Nickel results in decreased expression of AARS1 mRNA	decreases^expression	23195993
AARS1	16	N,N,N',N'-tetrakis(2-pyridylmethyl)ethylenediamine	C044387	16858-02-9	N,N,N',N'-tetrakis(2-pyridylmethyl)ethylenediamine results in decreased expression of AARS1 mRNA	decreases^expression	19013360
AARS1	16	ochratoxin A	C025589	303-47-9	ochratoxin A results in decreased expression of AARS1 mRNA	decreases^expression	30559759
AARS1	16	Oxygen	D010100	7782-44-7	Oxygen deficiency results in decreased expression of AARS1 mRNA	decreases^expression	25596134
AARS1	16	Particulate Matter	D052638		Particulate Matter results in decreased expression of AARS1 mRNA	decreases^expression	24769257
AARS1	16	perfluorononanoic acid	C584865		perfluorononanoic acid results in increased expression of AARS1 mRNA	increases^expression	32588087
AARS1	16	perfluorooctanoic acid	C023036	335-67-1	perfluorooctanoic acid results in increased expression of AARS1 protein	increases^expression	26879310
AARS1	16	Phenobarbital	D010634	50-06-6	Phenobarbital affects the expression of AARS1 mRNA	affects^expression	19159669
AARS1	16	Piroxicam	D010894	36322-90-4	Cisplatin affects the reaction [Piroxicam results in decreased expression of AARS1 mRNA]	affects^reaction|decreases^expression	21858171
AARS1	16	Piroxicam	D010894	36322-90-4	Piroxicam results in decreased expression of AARS1 mRNA	decreases^expression	21858171
AARS1	16	sodium arsenite	C017947	13768-07-5	sodium arsenite results in decreased expression of AARS1 mRNA	decreases^expression	28595984
AARS1	16	Sunitinib	D000077210		Sunitinib results in increased expression of AARS1 mRNA	increases^expression	31533062
AARS1	16	tris(1,3-dichloro-2-propyl)phosphate	C016805	13674-87-8	tris(1,3-dichloro-2-propyl)phosphate results in increased expression of AARS1 mRNA	increases^expression	26179874
AARS1	16	Tunicamycin	D014415	11089-65-9	Tunicamycin results in increased expression of AARS1 mRNA	increases^expression	22378314|29453283
AARS1	16	Tunicamycin	D014415	11089-65-9	Tunicamycin results in increased expression of AARS1 protein	increases^expression	29453283
AARS1	16	Valproic Acid	D014635	99-66-1	Valproic Acid affects the expression of AARS1 mRNA	affects^expression	25979313
AARS1	16	Zinc	D015032	7440-66-6	Zinc deficiency results in increased expression of AARS1 mRNA	increases^expression	22171008
AARS1	16	Zoledronic Acid	D000077211		Zoledronic Acid results in decreased expression of AARS1 mRNA	decreases^expression	25596134
AASDH	132949	Atrazine	D001280	1912-24-9	Atrazine results in decreased expression of AASDH mRNA	decreases^expression	22378314
AASDH	132949	Cadmium Chloride	D019256	10108-64-2	Cadmium Chloride results in increased expression of AASDH mRNA	increases^expression	26472689
AASDH	132949	dicrotophos	C000944	3735-78-2	dicrotophos results in decreased expression of AASDH mRNA	decreases^expression	28302478
AASDH	132949	epigallocatechin gallate	C045651	989-51-5	[potassium chromate(VI) co-treated with epigallocatechin gallate] results in decreased expression of AASDH mRNA	affects^cotreatment|decreases^expression	22079256
AASDH	132949	jinfukang	C544151		jinfukang results in decreased expression of AASDH mRNA	decreases^expression	27392435
AASDH	132949	(+)-JQ1 compound	C561695		(+)-JQ1 compound results in increased expression of AASDH mRNA	increases^expression	24796395
AASDH	132949	potassium chromate(VI)	C027373	7789-00-6	[potassium chromate(VI) co-treated with epigallocatechin gallate] results in decreased expression of AASDH mRNA	affects^cotreatment|decreases^expression	22079256
AASDH	132949	potassium chromate(VI)	C027373	7789-00-6	potassium chromate(VI) results in decreased expression of AASDH mRNA	decreases^expression	22079256
AASDH	132949	Sunitinib	D000077210		Sunitinib results in increased expression of AASDH mRNA	increases^expression	31533062
AASDH	132949	Urethane	D014520	51-79-6	Urethane results in decreased expression of AASDH mRNA	decreases^expression	28818685
AASDH	132949	Valproic Acid	D014635	99-66-1	Valproic Acid results in decreased expression of AASDH mRNA	decreases^expression	23179753
ABCB6	10058	4-(5-benzo(1,3)dioxol-5-yl-4-pyridin-2-yl-1H-imidazol-2-yl)benzamide	C459179		[NOG protein co-treated with mercuric bromide co-treated with dorsomorphin co-treated with 4-(5-benzo(1,3)dioxol-5-yl-4-pyridin-2-yl-1H-imidazol-2-yl)benzamide] results in increased expression of ABCB6 mRNA	affects^cotreatment|increases^expression	27188386
ABCB6	10058	4-(5-benzo(1,3)dioxol-5-yl-4-pyridin-2-yl-1H-imidazol-2-yl)benzamide	C459179		[NOG protein co-treated with p-Chloromercuribenzoic Acid co-treated with dorsomorphin co-treated with 4-(5-benzo(1,3)dioxol-5-yl-4-pyridin-2-yl-1H-imidazol-2-yl)benzamide] results in increased expression of ABCB6 mRNA	affects^cotreatment|increases^expression	27188386
ABCB6	10058	4-(5-benzo(1,3)dioxol-5-yl-4-pyridin-2-yl-1H-imidazol-2-yl)benzamide	C459179		[NOG protein co-treated with Phenylmercuric Acetate co-treated with dorsomorphin co-treated with 4-(5-benzo(1,3)dioxol-5-yl-4-pyridin-2-yl-1H-imidazol-2-yl)benzamide] results in increased expression of ABCB6 mRNA	affects^cotreatment|increases^expression	27188386
ABCB6	10058	4-(5-benzo(1,3)dioxol-5-yl-4-pyridin-2-yl-1H-imidazol-2-yl)benzamide	C459179		[NOG protein co-treated with Valproic Acid co-treated with dorsomorphin co-treated with 4-(5-benzo(1,3)dioxol-5-yl-4-pyridin-2-yl-1H-imidazol-2-yl)benzamide] results in increased expression of ABCB6 mRNA	affects^cotreatment|increases^expression	27188386
ABCB6	10058	9,10-dihydro-9,10-dihydroxybenzo(a)pyrene	C020738	24909-09-9	9,10-dihydro-9,10-dihydroxybenzo(a)pyrene results in increased expression of ABCB6 mRNA	increases^expression	26238291
ABCB6	10058	abrine	C496492		abrine results in decreased expression of ABCB6 mRNA	decreases^expression	31054353
ABCB6	10058	Acetaminophen	D000082	103-90-2	Acetaminophen results in decreased expression of ABCB6 mRNA	decreases^expression	21420995|26690555
ABCB6	10058	Air Pollutants	D000393		Air Pollutants analog results in decreased expression of ABCB6 mRNA	decreases^expression	21757418
ABCB6	10058	Amitrole	D000640	61-82-5	ABCB6 inhibits the reaction [[Amitrole results in decreased activity of CAT protein] which results in increased susceptibility to sodium arsenite]	decreases^activity|decreases^reaction|increases^response to substance	21266531
ABCB6	10058	Amitrole	D000640	61-82-5	Amitrole inhibits the reaction [ABCB6 protein results in increased activity of CAT protein]	decreases^reaction|increases^activity	21266531
ABCB6	10058	Antirheumatic Agents	D018501		Antirheumatic Agents results in increased expression of ABCB6 mRNA	increases^expression	24449571
ABCB6	10058	Atrazine	D001280	1912-24-9	Atrazine results in decreased expression of ABCB6 mRNA	decreases^expression	22378314
ABCB6	10058	Benzo(a)pyrene	D001564	50-32-8	Benzo(a)pyrene results in increased expression of ABCB6 mRNA	increases^expression	16545412|20064835|20106945|21632981|22316170|22761424|26238291
ABCB6	10058	Benzo(a)pyrene	D001564	50-32-8	Benzo(a)pyrene results in increased expression of ABCB6 protein	increases^expression	22761424
ABCB6	10058	Benzo(a)pyrene	D001564	50-32-8	Benzo(a)pyrene results in increased methylation of ABCB6 5' UTR	increases^methylation	27901495
ABCB6	10058	Benzo(a)pyrene	D001564	50-32-8	Benzo(a)pyrene results in increased methylation of ABCB6 promoter	increases^methylation	27901495
ABCB6	10058	bisphenol A	C006780	80-05-7	bisphenol A results in increased expression of ABCB6 mRNA	increases^expression	29275510
ABCB6	10058	Cadmium Chloride	D019256	10108-64-2	Cadmium Chloride results in increased expression of ABCB6 mRNA	increases^expression	25596134
ABCB6	10058	chloroacetaldehyde	C004656	107-20-0	chloroacetaldehyde affects the expression of ABCB6 mRNA	affects^expression	25596134
ABCB6	10058	Cidofovir	D000077404	113852-37-2	Cidofovir results in increased expression of ABCB6 mRNA	increases^expression	25596134
ABCB6	10058	Cisplatin	D002945	15663-27-1	ABCB6 mRNA affects the susceptibility to Cisplatin	affects^response to substance	18610736
ABCB6	10058	Cisplatin	D002945	15663-27-1	[Cisplatin co-treated with jinfukang] results in increased expression of ABCB6 mRNA	affects^cotreatment|increases^expression	27392435
ABCB6	10058	Cisplatin	D002945	15663-27-1	Cisplatin results in decreased expression of ABCB6 mRNA	decreases^expression	20737486
ABCB6	10058	Cisplatin	D002945	15663-27-1	Cisplatin results in increased expression of ABCB6 mRNA	increases^expression	25596134|27392435
ABCB6	10058	clothianidin	C480342		clothianidin results in decreased expression of ABCB6 mRNA	decreases^expression	29044138
ABCB6	10058	Cobalt	D003035	7440-48-4	[tungsten carbide co-treated with Cobalt] results in increased expression of ABCB6 mRNA	affects^cotreatment|increases^expression	18078969
ABCB6	10058	cobaltous chloride	C018021	7646-79-9	cobaltous chloride results in increased expression of ABCB6 mRNA	increases^expression	19320972|22202117
ABCB6	10058	cobaltous chloride	C018021	7646-79-9	zinc chloride inhibits the reaction [cobaltous chloride results in increased expression of ABCB6 mRNA]	decreases^reaction|increases^expression	22202117
ABCB6	10058	Cyclosporine	D016572	59865-13-3	Cyclosporine results in decreased expression of ABCB6 mRNA	decreases^expression	25562108
ABCB6	10058	Cyclosporine	D016572	59865-13-3	Cyclosporine results in increased expression of ABCB6 mRNA	increases^expression	20106945|25596134
ABCB6	10058	Docetaxel	D000077143		[Docetaxel results in decreased susceptibility to Docetaxel] which results in increased expression of ABCB6 mRNA	decreases^response to substance|increases^expression	19944135
ABCB6	10058	dorsomorphin	C516138		[NOG protein co-treated with mercuric bromide co-treated with dorsomorphin co-treated with 4-(5-benzo(1,3)dioxol-5-yl-4-pyridin-2-yl-1H-imidazol-2-yl)benzamide] results in increased expression of ABCB6 mRNA	affects^cotreatment|increases^expression	27188386
ABCB6	10058	dorsomorphin	C516138		[NOG protein co-treated with p-Chloromercuribenzoic Acid co-treated with dorsomorphin co-treated with 4-(5-benzo(1,3)dioxol-5-yl-4-pyridin-2-yl-1H-imidazol-2-yl)benzamide] results in increased expression of ABCB6 mRNA	affects^cotreatment|increases^expression	27188386
ABCB6	10058	dorsomorphin	C516138		[NOG protein co-treated with Phenylmercuric Acetate co-treated with dorsomorphin co-treated with 4-(5-benzo(1,3)dioxol-5-yl-4-pyridin-2-yl-1H-imidazol-2-yl)benzamide] results in increased expression of ABCB6 mRNA	affects^cotreatment|increases^expression	27188386
ABCB6	10058	dorsomorphin	C516138		[NOG protein co-treated with Valproic Acid co-treated with dorsomorphin co-treated with 4-(5-benzo(1,3)dioxol-5-yl-4-pyridin-2-yl-1H-imidazol-2-yl)benzamide] results in increased expression of ABCB6 mRNA	affects^cotreatment|increases^expression	27188386
ABCB6	10058	Ethyl Methanesulfonate	D005020	62-50-0	Ethyl Methanesulfonate results in increased expression of ABCB6 mRNA	increases^expression	23649840
ABCB6	10058	Fluorouracil	D005472	51-21-8	Fluorouracil results in decreased expression of ABCB6 mRNA	decreases^expression	20737486
ABCB6	10058	glycidamide	C071834		glycidamide results in increased expression of ABCB6 mRNA	increases^expression	17822822
ABCB6	10058	Heme	D006418	14875-96-8	Heme results in increased expression of ABCB6 mRNA	increases^expression	17006453
ABCB6	10058	Heme	D006418	14875-96-8	Heme results in increased expression of ABCB6 protein	increases^expression	17006453
ABCB6	10058	ICG 001	C492448		ICG 001 results in decreased expression of ABCB6 mRNA	decreases^expression	26191083
ABCB6	10058	Ifosfamide	D007069	3778-73-2	Ifosfamide results in increased expression of ABCB6 mRNA	increases^expression	25596134
ABCB6	10058	jinfukang	C544151		[Cisplatin co-treated with jinfukang] results in increased expression of ABCB6 mRNA	affects^cotreatment|increases^expression	27392435
ABCB6	10058	jinfukang	C544151		jinfukang results in increased expression of ABCB6 mRNA	increases^expression	27392435
ABCB6	10058	Leflunomide	D000077339	75706-12-6	Leflunomide results in decreased expression of ABCB6 mRNA	decreases^expression	28988120|29427785
ABCB6	10058	mercuric bromide	C042720	7789-47-1	mercuric bromide results in increased expression of ABCB6 mRNA	increases^expression	26272509
ABCB6	10058	mercuric bromide	C042720	7789-47-1	[NOG protein co-treated with mercuric bromide co-treated with dorsomorphin co-treated with 4-(5-benzo(1,3)dioxol-5-yl-4-pyridin-2-yl-1H-imidazol-2-yl)benzamide] results in increased expression of ABCB6 mRNA	affects^cotreatment|increases^expression	27188386
ABCB6	10058	Methylcholanthrene	D008748	56-49-5	Methylcholanthrene results in increased expression of ABCB6 mRNA	increases^expression	22761424
ABCB6	10058	methylmercuric chloride	C004925	115-09-3	methylmercuric chloride results in increased expression of ABCB6 mRNA	increases^expression	28001369
ABCB6	10058	Methyl Methanesulfonate	D008741	66-27-3	Methyl Methanesulfonate results in increased expression of ABCB6 mRNA	increases^expression	23649840
ABCB6	10058	ochratoxin A	C025589	303-47-9	ochratoxin A results in decreased expression of ABCB6 mRNA	decreases^expression	19287073
ABCB6	10058	Oxygen	D010100	7782-44-7	Oxygen deficiency results in increased expression of ABCB6 mRNA	increases^expression	25596134
ABCB6	10058	Paclitaxel	D017239		Paclitaxel results in decreased expression of ABCB6 mRNA	decreases^expression	20737486
ABCB6	10058	p-Chloromercuribenzoic Acid	D020245	59-85-8	[NOG protein co-treated with p-Chloromercuribenzoic Acid co-treated with dorsomorphin co-treated with 4-(5-benzo(1,3)dioxol-5-yl-4-pyridin-2-yl-1H-imidazol-2-yl)benzamide] results in increased expression of ABCB6 mRNA	affects^cotreatment|increases^expression	27188386
ABCB6	10058	p-Chloromercuribenzoic Acid	D020245	59-85-8	p-Chloromercuribenzoic Acid results in increased expression of ABCB6 mRNA	increases^expression	26272509
ABCB6	10058	Phenobarbital	D010634	50-06-6	Phenobarbital affects the expression of ABCB6 mRNA	affects^expression	19159669
ABCB6	10058	Phenylmercuric Acetate	D010662	62-38-4	[NOG protein co-treated with Phenylmercuric Acetate co-treated with dorsomorphin co-treated with 4-(5-benzo(1,3)dioxol-5-yl-4-pyridin-2-yl-1H-imidazol-2-yl)benzamide] results in increased expression of ABCB6 mRNA	affects^cotreatment|increases^expression	27188386
ABCB6	10058	Phenylmercuric Acetate	D010662	62-38-4	Phenylmercuric Acetate results in increased expression of ABCB6 mRNA	increases^expression	26272509
ABCB6	10058	Reactive Oxygen Species	D017382		ABCB6 protein results in decreased abundance of Reactive Oxygen Species	decreases^abundance	21266531
ABCB6	10058	Rifampin	D012293	13292-46-1	Rifampin results in increased expression of ABCB6 mRNA	increases^expression	27199754
ABCB6	10058	Silicon Dioxide	D012822	7631-86-9	Silicon Dioxide analog results in decreased expression of ABCB6 mRNA	decreases^expression	25895662
ABCB6	10058	sodium arsenite	C017947	13768-07-5	ABCB6 inhibits the reaction [[Amitrole results in decreased activity of CAT protein] which results in increased susceptibility to sodium arsenite]	decreases^activity|decreases^reaction|increases^response to substance	21266531
ABCB6	10058	sodium arsenite	C017947	13768-07-5	ABCB6 protein results in decreased susceptibility to sodium arsenite	decreases^response to substance	21266531
ABCB6	10058	sodium arsenite	C017947	13768-07-5	sodium arsenite results in increased expression of ABCB6 mRNA	increases^expression	21266531|21281968|24516582|25493608
ABCB6	10058	sodium arsenite	C017947	13768-07-5	sodium arsenite results in increased expression of ABCB6 protein	increases^expression	21266531
ABCB6	10058	Sodium Dodecyl Sulfate	D012967	151-21-3	Sodium Dodecyl Sulfate results in decreased expression of ABCB6 mRNA	decreases^expression	31734321
ABCB6	10058	sulforafan	C016766	4478-93-7	sulforafan results in increased expression of ABCB6 mRNA	increases^expression	31838189
ABCB6	10058	Sunitinib	D000077210		Sunitinib results in increased expression of ABCB6 mRNA	increases^expression	31533062
ABCB6	10058	Tetrachlorodibenzodioxin	D013749	1746-01-6	Tetrachlorodibenzodioxin affects the expression of ABCB6 mRNA	affects^expression	22574217
ABCB6	10058	Tetrachlorodibenzodioxin	D013749	1746-01-6	Tetrachlorodibenzodioxin results in increased expression of ABCB6 mRNA	increases^expression	20106945|22761424
ABCB6	10058	Tobacco Smoke Pollution	D014028		Tobacco Smoke Pollution results in decreased expression of ABCB6 mRNA	decreases^expression	28065790
ABCB6	10058	tungsten carbide	C002802	11130-73-7	[tungsten carbide co-treated with Cobalt] results in increased expression of ABCB6 mRNA	affects^cotreatment|increases^expression	18078969
ABCB6	10058	Urethane	D014520	51-79-6	Urethane results in decreased expression of ABCB6 mRNA	decreases^expression	28818685
ABCB6	10058	Valproic Acid	D014635	99-66-1	[NOG protein co-treated with Valproic Acid co-treated with dorsomorphin co-treated with 4-(5-benzo(1,3)dioxol-5-yl-4-pyridin-2-yl-1H-imidazol-2-yl)benzamide] results in increased expression of ABCB6 mRNA	affects^cotreatment|increases^expression	27188386
ABCB6	10058	Valproic Acid	D014635	99-66-1	Valproic Acid affects the expression of ABCB6 mRNA	affects^expression	25979313
ABCB6	10058	Valproic Acid	D014635	99-66-1	Valproic Acid results in increased expression of ABCB6 mRNA	increases^expression	23179753|24383497|26272509|28001369
ABCB6	10058	Vincristine	D014750		[Vincristine results in decreased susceptibility to Vincristine] which affects the expression of ABCB6 mRNA	affects^expression|decreases^response to substance	19944135
ABCB6	10058	Vitallium	D014800	12629-02-6	Vitallium analog results in increased expression of ABCB6 mRNA	increases^expression	23825117
ABCB6	10058	zinc chloride	C016837	7646-85-7	zinc chloride inhibits the reaction [cobaltous chloride results in increased expression of ABCB6 mRNA]	decreases^reaction|increases^expression	22202117
ABCB6	10058	Zoledronic Acid	D000077211		Zoledronic Acid results in decreased expression of ABCB6 mRNA	decreases^expression	24714768|25596134
ABHD12	26090	2,3-bis(3'-hydroxybenzyl)butyrolactone	C029497	76543-15-2	[Coumestrol co-treated with 2,3-bis(3'-hydroxybenzyl)butyrolactone] results in increased expression of ABHD12 mRNA	affects^cotreatment|increases^expression	19167446
ABHD12	26090	3-(2-hydroxy-4-(2-methylnonan-2-yl)phenyl)cyclohexan-1-ol	C572491		3-(2-hydroxy-4-(2-methylnonan-2-yl)phenyl)cyclohexan-1-ol results in increased expression of ABHD12 protein	increases^expression	26194647
ABHD12	26090	4-(5-benzo(1,3)dioxol-5-yl-4-pyridin-2-yl-1H-imidazol-2-yl)benzamide	C459179		[NOG protein co-treated with Phenylmercuric Acetate co-treated with dorsomorphin co-treated with 4-(5-benzo(1,3)dioxol-5-yl-4-pyridin-2-yl-1H-imidazol-2-yl)benzamide] results in increased expression of ABHD12 mRNA	affects^cotreatment|increases^expression	27188386
ABHD12	26090	4-(5-benzo(1,3)dioxol-5-yl-4-pyridin-2-yl-1H-imidazol-2-yl)benzamide	C459179		[NOG protein co-treated with Valproic Acid co-treated with dorsomorphin co-treated with 4-(5-benzo(1,3)dioxol-5-yl-4-pyridin-2-yl-1H-imidazol-2-yl)benzamide] results in increased expression of ABHD12 mRNA	affects^cotreatment|increases^expression	27188386
ABHD12	26090	Acetaminophen	D000082	103-90-2	Acetaminophen results in increased expression of ABHD12 mRNA	increases^expression	22230336
ABHD12	26090	Atrazine	D001280	1912-24-9	Atrazine results in decreased expression of ABHD12 mRNA	decreases^expression	22378314
ABHD12	26090	Coumestrol	D003375	479-13-0	[Coumestrol co-treated with 2,3-bis(3'-hydroxybenzyl)butyrolactone] results in increased expression of ABHD12 mRNA	affects^cotreatment|increases^expression	19167446
ABHD12	26090	dorsomorphin	C516138		[NOG protein co-treated with Phenylmercuric Acetate co-treated with dorsomorphin co-treated with 4-(5-benzo(1,3)dioxol-5-yl-4-pyridin-2-yl-1H-imidazol-2-yl)benzamide] results in increased expression of ABHD12 mRNA	affects^cotreatment|increases^expression	27188386
ABHD12	26090	dorsomorphin	C516138		[NOG protein co-treated with Valproic Acid co-treated with dorsomorphin co-treated with 4-(5-benzo(1,3)dioxol-5-yl-4-pyridin-2-yl-1H-imidazol-2-yl)benzamide] results in increased expression of ABHD12 mRNA	affects^cotreatment|increases^expression	27188386
ABHD12	26090	Estradiol	D004958	50-28-2	[Estradiol co-treated with Progesterone] results in increased expression of ABHD12 mRNA	affects^cotreatment|increases^expression	20660070
ABHD12	26090	Formaldehyde	D005557	50-00-0	Formaldehyde results in increased expression of ABHD12 mRNA	increases^expression	23649840
ABHD12	26090	Lactic Acid	D019344	50-21-5	Lactic Acid results in decreased expression of ABHD12 mRNA	decreases^expression	30851411
ABHD12	26090	Lead	D007854	7439-92-1	Lead results in decreased expression of ABHD12 mRNA	decreases^expression	19921347
